,date4,size,BTC Price,Date1
412,2019-02-13,4,3579.3418810265,2019-02-13
413,2019-02-15,8,3558.3968581047,2019-02-15
414,2019-02-17,2,3596.4051912371,2019-02-17
415,2019-02-21,7,3924.7398439211,2019-02-21
416,2019-02-23,4,3933.6075896328,2019-02-23
417,2019-02-25,4,3763.6205157956,2019-02-25
418,2019-02-27,4,3797.5817895103,2019-02-27
419,2019-03-01,6,3799.678542951,2019-03-01
420,2019-03-03,4,3804.4191701095,2019-03-03
421,2019-03-05,3,3689.8628931904,2019-03-05
422,2019-03-07,2,3848.9563696825,2019-03-07
423,2019-03-09,7,3828.3719040694,2019-03-09
424,2019-03-11,5,3899.6558689562,2019-03-11
425,2019-03-13,3,3866.2959463248,2019-03-13
426,2019-03-15,5,3855.7443626577,2019-03-15
427,2019-03-17,4,3985.8512364813,2019-03-17
428,2019-03-19,2,3974.4157640954,2019-03-19
429,2019-03-21,4,4027.7873954939,2019-03-21
430,2019-03-23,4,3987.3052249052,2019-03-23
431,2019-03-25,6,3968.4387009854,2019-03-25
432,2019-03-27,1,3915.3753197805,2019-03-27
433,2019-03-29,1,4008.3708718477,2019-03-29
434,2019-03-31,3,4081.2216046987,2019-03-31
435,2019-04-02,2,4135.1849399747,2019-04-02
436,2019-04-06,2,5030.9332705867,2019-04-06
437,2019-04-08,5,5198.1731702888,2019-04-08
438,2019-04-10,1,5179.997649218,2019-04-10
439,2019-04-12,2,5049.6058235388,2019-04-12
440,2019-04-16,2,5045.6751659083,2019-04-16
441,2019-04-18,2,5220.9599338197,2019-04-18
442,2019-04-20,1,5266.6612458779,2019-04-20
443,2019-04-22,2,5276.5583181647,2019-04-22
444,2019-04-24,1,5552.5219105461,2019-04-24
445,2019-04-26,7,5132.227526274,2019-04-26
446,2019-04-28,2,5200.1932393191,2019-04-28
447,2019-04-30,2,5151.4334996793,2019-04-30
448,2019-05-02,4,5297.9424922151,2019-05-02
449,2019-05-04,2,5697.6790537992,2019-05-04
450,2019-05-06,1,5713.0350518135,2019-05-06
451,2019-05-08,3,5899.5296934602,2019-05-08
452,2019-05-10,2,6159.6859018287,2019-05-10
453,2019-05-12,2,7254.8055361621,2019-05-12
454,2019-05-14,1,7906.9408350528,2019-05-14
455,2019-05-16,4,8177.4535191838,2019-05-16
456,2019-05-20,1,8221.2593953546,2019-05-20
457,2019-05-22,3,7961.1287431622,2019-05-22
458,2019-05-24,3,7903.8469103955,2019-05-24
459,2019-05-26,4,8089.5701634982,2019-05-26
460,2019-05-28,1,8800.3466061527,2019-05-28
461,2019-05-30,4,8672.4001072907,2019-05-30
462,2019-06-03,1,8744.2655607165,2019-06-03
463,2019-06-05,1,7645.5725139007,2019-06-05
464,2019-06-07,4,7730.8817258862,2019-06-07
465,2019-06-09,1,7949.425798625,2019-06-09
466,2019-06-11,4,7954.0062377205,2019-06-11
467,2019-06-13,1,8151.7886797815,2019-06-13
468,2019-06-15,2,8667.7879539941,2019-06-15
469,2019-06-17,2,9061.5404606385,2019-06-17
470,2019-06-19,4,9012.4878496522,2019-06-19
471,2019-06-21,4,9559.9006885716,2019-06-21
472,2019-06-23,4,10461.4121688088,2019-06-23
473,2019-06-25,3,10996.4597495353,2019-06-25
474,2019-06-27,1,12444.9258599878,2019-06-27
475,2019-07-01,4,10932.3105071733,2019-07-01
476,2019-07-03,3,10800.1301399504,2019-07-03
477,2019-07-05,1,11645.5246063376,2019-07-05
478,2019-07-07,1,11219.0460004352,2019-07-07
479,2019-07-09,1,12335.9993946484,2019-07-09
480,2019-07-11,3,12054.1837934894,2019-07-11
481,2019-07-15,4,10506.3958273087,2019-07-15
482,2019-07-17,1,9490.4105157548,2019-07-17
483,2019-07-19,1,10603.3488731713,2019-07-19
484,2019-07-21,1,10983.2160020296,2019-07-21
485,2019-07-25,1,9771.5047613175,2019-07-25
486,2019-07-27,1,9812.2263505784,2019-07-27
487,2019-07-29,2,9495.855261405,2019-07-29
488,2019-07-31,2,9572.735371803,2019-07-31
489,2019-08-02,1,10385.2006061246,2019-08-02
490,2019-08-04,2,10831.2598554087,2019-08-04
491,2019-08-08,1,11956.0472230184,2019-08-08
492,2019-08-14,1,10869.3791128623,2019-08-14
493,2019-08-22,1,10064.9167944793,2019-08-22
494,2019-08-26,2,10068.922419922,2019-08-26
495,2019-08-28,4,10122.1965329581,2019-08-28
496,2019-09-05,1,10555.0469008368,2019-09-05
497,2019-09-09,1,10402.7965306911,2019-09-09
498,2019-09-11,1,10082.9468264833,2019-09-11
499,2019-09-21,1,10138.3352052234,2019-09-21
500,2019-10-03,1,8273.4640176573,2019-10-03
501,2019-10-15,1,8337.8189985374,2019-10-15
502,2019-10-17,2,8003.8203947876,2019-10-17
503,2019-10-19,1,7970.2394756046,2019-10-19
504,2019-10-21,2,8200.3187633988,2019-10-21
505,2019-10-23,2,8073.4095438836,2019-10-23
506,2019-10-25,1,7460.6174159279,2019-10-25
507,2019-11-04,1,9202.41545055,2019-11-04
508,2019-11-08,3,9226.4858208826,2019-11-08
509,2019-11-20,1,8118.4885358003,2019-11-20
510,2019-11-22,1,7612.7405735024,2019-11-22
511,2019-12-02,1,7381.9630078152,2019-12-02
512,2019-12-04,1,7315.3677645579,2019-12-04
513,2019-12-14,1,7238.8743229875,2019-12-14
514,2019-12-16,2,7112.7314761241,2019-12-16
515,2019-12-18,1,6584.0288433458,2019-12-18
516,2019-12-26,1,7212.8093952216,2019-12-26
517,2020-01-02,1,7174.7440119511,2020-01-02
518,2020-01-04,1,7291.2195053189,2020-01-04
519,2020-01-06,1,7347.4332644392,2020-01-06
520,2020-01-12,1,8078.9935319903,2020-01-12
521,2020-01-14,2,8116.9610079465,2020-01-14
522,2020-01-16,1,8843.6757322237,2020-01-16
523,2020-01-20,2,8638.1814404614,2020-01-20
524,2020-01-24,2,8384.0887767671,2020-01-24
525,2020-01-26,2,8347.567505406,2020-01-26
526,2020-02-01,1,9388.8807518859,2020-02-01
527,2020-02-05,1,9177.8946372066,2020-02-05
528,2020-02-09,1,9927.7782564213,2020-02-09
529,2020-02-11,1,9838.9000162764,2020-02-11
530,2020-02-19,2,10189.9959829746,2020-02-19
531,2020-02-21,1,9631.4849459561,2020-02-21
532,2020-03-12,2,7955.3062841815,2020-03-12
533,2020-03-14,1,5672.6812010316,2020-03-14
534,2020-03-22,1,6187.0537502172,2020-03-22
535,2020-03-26,1,6706.9850891337,2020-03-26
536,2020-03-30,1,5922.4898350924,2020-03-30
537,2020-04-01,1,6446.4213468415,2020-04-01
538,2020-04-03,2,6850.5587116906,2020-04-03
539,2020-04-09,2,7367.2933984502,2020-04-09
540,2020-04-15,1,6887.554907833,2020-04-15
541,2020-04-17,1,7166.5828171387,2020-04-17
542,2020-04-21,3,6856.1464345446,2020-04-21
543,2020-04-25,3,7497.8617638281,2020-04-25
544,2020-04-27,2,7624.8537859232,2020-04-27
545,2020-04-29,1,7761.7587840758,2020-04-29
546,2020-05-03,1,8963.057557797,2020-05-03
547,2020-05-05,2,8887.5058925872,2020-05-05
548,2020-05-07,2,9371.6842727917,2020-05-07
549,2020-05-09,1,9917.2484143422,2020-05-09
550,2020-05-17,1,9418.9185505051,2020-05-17
551,2020-05-23,1,9192.8451358053,2020-05-23
552,2020-05-27,1,8835.7272240409,2020-05-27
553,2020-06-02,2,10268.5819847333,2020-06-02
554,2020-06-06,2,9659.6612981892,2020-06-06
555,2020-06-14,1,9458.6597544046,2020-06-14
556,2020-06-16,1,9441.7689955465,2020-06-16
557,2020-06-22,1,9289.104491444,2020-06-22
558,2020-06-26,1,9252.6333717662,2020-06-26
559,2020-06-28,1,9022.1537680028,2020-06-28
560,2020-06-30,1,9188.0613754617,2020-06-30
561,2020-07-06,1,9055.4644825162,2020-07-06
562,2020-07-10,1,9236.1432537083,2020-07-10
563,2020-07-12,1,9229.85975494,2020-07-12
564,2020-07-20,1,9190.2715341962,2020-07-20
565,2020-07-24,1,9617.3778613786,2020-07-24
566,2020-07-30,1,11284.4589868467,2020-07-30
567,2020-08-01,1,11373.3172566418,2020-08-01
568,2020-08-15,3,11783.2834112599,2020-08-15
569,2020-08-19,1,12071.738909085,2020-08-19
